id,name,cost,capacity,pair
qatar-u-a-e-submarine-cable-system,Qatar-U.A.E. Submarine Cable System,10,0.02,
quintillion-subsea-cable-network,Quintillion Subsea Cable Network,150,30,3
raman,Raman,400,,16
rockabill,Rockabill,5.525,,
russia-japan-cable-network-rjcn,Russia-Japan Cable Network (RJCN),50,0.64,
rnne-rdvig,R酶nne-R酶dvig,,,
saba-statia-cable-system-sscs,"Saba, Statia Cable System (SSCS)",,,
safe,SAFE,350,0.44,
sakhalin-kuril-islands-cable,Sakhalin-Kuril Islands Cable,,,
samoa-american-samoa-sas,Samoa-American Samoa (SAS),6.25,,
san-andres-isla-tolu-submarine-cable-sait,San Andres Isla Tolu Submarine Cable (SAIT),2.065,,
sape-labuanbajo-ende-kupang-cable-systems,Sape-LabuanBajo-Ende-Kupang Cable Systems,,,
sat-3wasc,SAT-3/WASC,370,0.8,2
saudi-arabia-sudan-1-sas-1,Saudi Arabia-Sudan-1 (SAS-1),20,1.28,4
saudi-arabia-sudan-2-sas-2,Saudi Arabia-Sudan-2 (SAS-2),8.25,,
saudi-vision,Saudi Vision,,,
scandinavian-ring-north,Scandinavian Ring North,0.25,0.24,96
scandinavian-ring-south,Scandinavian Ring South,0.8,0.24,96
scotland-northern-ireland-1,Scotland-Northern Ireland 1,,,
scotland-northern-ireland-2,Scotland-Northern Ireland 2,,,
scotland-northern-ireland-3,Scotland-Northern Ireland 3,,,
scotland-northern-ireland-4,Scotland-Northern Ireland 4,,,
scylla,Scylla,,,
sea2shore,sea2shore,0.8,,
seabras-1,Seabras-1,509,72,6
seacomtata-tgn-eurasia,SEACOM/Tata TGN-Eurasia,750,7.28,
sealink,SEALink,,,
sea-us,SEA-US,,,
seamewe-3,SeaMeWe-3,,,
seamewe-4,SeaMeWe-4,,,
seamewe-5,SeaMeWe-5,,,
seamewe-6,SeaMeWe-6,,,
seax-1,SEAX-1,45,,24
sednalink-fibre,SednaLink Fibre,,,
segunda-fos-canal-de-chacao,Segunda FOS Canal de Chacao,1,,
senegal-horn-of-africa-regional-express-share-cable,Senegal Horn of Africa Regional Express (SHARE) Cable,18,16,
seychelles-to-east-africa-system-seas,Seychelles to East Africa System (SEAS),,,
shefa-2,SHEFA-2,27,0.57,
silphium,Silphium,20,1.2,3
singapore-myanmar-sigmar,Singapore-Myanmar (SIGMAR),80,,4
sint-maarten-puerto-rico-network-one-smpr-1,Sint Maarten Puerto Rico Network One (SMPR-1),15,0.0025,
